Bridge ID,Road Type,Year Built,Number of Lanes,Avg Daily Traffic,Operational Status,Structure Material,Deck Material,Bridge Design,Number of Spans,Bridge Length,Road Width,Deck Width,Assessment,Structural improvement Needed,Lifetime
FBA631L18702126N04706,5,1982,1,50,1,1,3,85,1,11.2,7.9,8.5,2,0,31
AVS013E67702643T01389,5,2011,2,2000,1,2,1,75,1,41.1,12.8,13.8,2,0,7
AVS013E67706985P09389,1,2011,3,200,1,1,1,75,2,80.2,16.2,17.2,2,0,7
AVS013E67709899C08982,5,2011,2,20,1,1,N,79,1,8.2,5.5,11,2,0,7
AVS014K98701615G09088,2,1901,2,255,1,2,3,75,1,8.2,6.7,7,3,0,110
AVS014K98702043I02281,2,1901,2,5568,3,2,2,88,1,17.4,9.1,14.9,6,3,110
AVS014K98702043I02281,2,1901,2,4397,3,2,2,88,1,17.4,9.1,14.9,6,3,113
AVS014K98702043I02281,2,1901,2,4337,3,2,2,88,1,17.4,9.1,14.9,6,3,115
AVS014K98702043I02281,2,1901,2,4269,3,2,2,88,1,17.4,9.1,14.9,6,3,117
AVS014K98706707N01989,2,1901,2,20449,1,3,N,86,3,21.6,6.9,7.3,4,1,110
AVS014K98706707N01989,2,1901,2,15864,1,3,N,86,3,21.6,6.9,7.3,4,1,113
AVS014K98706707N01989,2,1901,2,16607,1,3,N,86,3,21.6,6.9,7.3,5,2,115
AVS014K98706707N01989,2,1901,2,16347,1,3,N,86,3,21.6,6.9,7.3,2,0,117
AVS014K98709181O03389,4,1901,2,252,3,2,2,75,1,11.6,6.7,7.3,4,1,110
AVS014K98709181O03389,4,1901,2,227,3,2,2,75,1,11.6,6.7,7.3,6,3,113
AVS014K98709181O03389,4,1901,2,240,3,2,2,75,1,11.6,6.7,7.3,6,3,115
AVS026Q96900170L05881,4,1926,2,34,1,1,1,74,1,29.3,5.6,6.2,3,0,85
AVS026Q96900170L05881,4,1926,2,34,1,1,1,74,1,29.3,5.6,6.2,3,0,88
AVS026Q96900170L05881,4,1926,2,68,1,1,1,74,1,29.3,5.6,6.2,3,0,92
AVS026Q96904733P07388,2,1926,2,7012,1,1,N,75,2,32.3,11,18.3,3,0,85
AVS026Q96904733P07388,2,1926,2,6319,1,1,N,75,2,32.3,11,18.3,3,0,92
AVS026Q96905216H07386,2,1926,2,1650,1,1,1,76,1,7,6.7,7.3,3,0,85
AVS026Q96905216H07386,2,1926,2,1558,1,1,1,76,1,7,6.7,7.3,3,0,92
AVS026Q96905723H09882,2,1926,2,3277,1,1,1,76,1,8.2,9.8,10.8,3,0,85
AVS026Q96905723H09882,2,1926,2,3358,1,1,1,76,1,8.2,9.8,10.8,3,0,92
AVS026Q96905917G01681,2,1926,2,145,1,2,1,88,1,22.3,4.9,5.4,5,2,85
AVS026Q96906945I02081,4,1926,2,666,3,1,1,99,3,41.5,5,6.6,6,3,85
AVS026Q96906945I02081,4,1926,2,666,3,1,1,99,3,41.5,5,6.6,6,3,88
AVS026Q96906945I02081,4,1926,2,701,3,1,1,99,3,41.5,5,6.6,6,3,90
AVS026Q96906945I02081,4,1926,2,701,3,1,1,99,3,41.5,5,6.6,6,3,92
AVS026Q96907025Z00384,2,1926,4,7614,1,3,N,86,1,6.4,17.3,19.4,3,0,85
AVS026Q96907686V02187,2,1926,2,3213,1,1,1,86,1,16.8,8.3,12.1,3,0,85
AVS026Q96907686V02187,2,1926,2,3549,1,1,1,86,1,16.8,8.3,12.1,3,0,92
AVS026Q96908343G00484,2,1926,2,2119,1,1,1,94,2,16.8,12.3,13.4,2,0,85
AVS026Q96908343G00484,2,1926,2,2092,1,1,1,94,2,16.8,12.3,13.4,2,0,88
AVS026Q96908343G00484,2,1926,2,1511,1,1,1,94,2,16.8,12.3,13.4,2,0,92
AVS026Q96908950M02588,2,1926,2,686,1,1,1,76,1,10.1,7.2,8,4,1,85
AVS026Q96908950M02588,2,1926,2,710,1,1,1,76,1,10.1,7.2,8,4,1,88
AVS026Q96908950M02588,2,1926,2,612,1,1,1,76,1,10.1,7.2,8,4,1,90
AVS026Q96908950M02588,2,1926,2,612,1,1,1,76,1,10.1,7.2,8,4,1,92
AVS041P82400040W05082,1,1963,2,28834,1,1,1,94,3,30.5,12.4,13.9,3,0,47
AVS041P82400129Y05182,1,1963,2,20326,1,1,1,94,3,28,12.8,13.9,3,0,47
AVS041P82401797S02983,1,1963,2,16871,1,1,N,79,1,7,0,0,2,0,47
AVS041P82401936S01587,1,1963,2,20793,1,1,1,94,1,12.5,12.5,14,3,0,47
AVS041P82402032R08880,1,1963,2,22165,1,1,1,94,3,32.9,12.3,13.9,3,0,55
AVS041P82403349R05981,2,1963,4,10974,1,1,1,75,1,18.6,25.6,27.3,3,0,55
AVS041P82403379E08781,2,1963,2,26872,1,1,1,75,6,173.7,11.1,11.9,4,1,53
AVS041P82403379E08781,2,1963,2,27667,1,1,1,75,6,173.7,11.1,11.9,4,1,55
AVS041P82404952K06986,2,1963,2,1718,3,2,1,75,1,19.5,7.4,8.3,4,1,53
AVS041P82405098P01488,2,1963,2,6979,1,2,1,75,2,74.4,8.5,10.4,3,0,55
AVS041P82405299M05387,4,1963,2,1907,1,1,1,94,1,11,12.2,13.9,3,0,55
AVS041P82406262D00281,2,1963,2,8870,1,1,1,74,1,26.8,12.2,13.9,5,2,53
AVS041P82406636I08985,2,1963,2,1459,1,2,1,75,2,28,8.5,9.4,3,0,55
AVS041P82406910Q05087,2,1963,2,709,1,1,1,94,3,55.2,8.5,10.2,3,0,55
AVS041P82407206V09583,2,1963,2,210,1,1,N,94,1,21.6,8.7,9.7,2,0,55
AVS041P82408324J00389,1,1963,2,22165,1,1,1,94,1,11,12.3,13.9,3,0,55
AVS041P82409053C04484,4,1963,2,613,3,2,2,75,1,14,8.5,9.1,4,1,53
AVS041P82409053C04484,4,1963,2,755,3,2,2,75,1,14,8.5,9.1,4,1,55
AVS042L50403299D02481,2,1946,2,676,1,2,2,75,1,9.8,7.5,8,3,0,72
AVS042L50404026Y00988,2,1946,2,2371,1,2,1,88,1,25.6,7.4,8.2,3,0,68
AVS042L50404026Y00988,2,1946,2,1902,1,2,1,88,1,25.6,7.4,8.2,3,0,72
AVS042L50404233D08483,4,1946,2,350,1,1,1,76,1,8.5,7.4,11.4,4,1,70
AVS042L50404233D08483,4,1946,2,350,1,1,1,76,1,8.5,7.4,11.4,4,1,72
AVS042L50409863G02280,2,1946,2,11048,1,2,1,75,1,14.6,11.9,13.7,4,1,72
AVS048T75300205T03483,2,1991,2,91,1,1,N,79,2,8.8,8.6,11.1,3,0,27
AVS048T75300587D05881,2,1991,2,526,1,1,1,74,3,92.7,7.7,8.8,3,0,27
AVS048T75302359E07688,5,1991,2,10429,1,2,1,75,3,86.3,12.8,13.9,2,0,27
AVS048T75307288G04389,5,1991,2,10429,1,2,1,75,3,86.3,12.8,13.9,2,0,27
AVS072Z12600713U04689,2,1909,2,16816,3,2,1,88,1,26.5,8.4,8.7,6,3,102
AVS072Z12601066E09182,2,1909,2,905,3,1,1,75,2,12.8,6,6.7,4,1,102
AVS072Z12603235O00883,4,1909,2,3024,4,2,2,89,2,78,8.8,11.6,7,3,102
AVS072Z12603235O00883,4,1909,2,3024,4,2,2,89,2,78,8.8,11.6,7,3,105
AVS072Z12603235O00883,4,1909,2,3024,4,2,2,89,2,78,8.8,11.6,7,3,109
AVS072Z12607311R07284,2,1909,2,638,3,1,N,75,1,7.3,5.3,5.7,5,2,102
AVS075C39201562X01187,2,1918,2,3382,1,1,1,94,2,42.7,10.7,14.6,2,0,93
AVS075C39201562X01187,2,1918,2,3869,1,1,1,94,2,42.7,10.7,14.6,2,0,100
AVS075C39204083P02886,4,1918,1,170,3,1,N,86,1,10.1,5.1,5.5,5,2,100
AVS089L84600409X09383,2,1956,2,431,1,1,N,74,1,12.5,10.7,11.2,3,0,62
AVS089L84603040X04385,1,1956,4,30563,1,2,1,88,3,141.7,15.9,18.9,4,1,60
AVS089L84603328Y00783,4,1956,1,40,1,2,2,75,1,11.3,4.1,4.3,5,2,58
AVS089L84603328Y00783,4,1956,1,40,1,2,2,75,1,11.3,4.1,4.3,5,2,62
AVS089L84604151D06983,5,1956,2,20,1,2,3,75,1,7.3,5.7,5.9,3,0,62
AVS089L84605165D08385,2,1956,2,3476,1,2,1,75,1,17.1,9.8,10.7,3,0,62
AVS089L84605177S06284,2,1956,2,491,3,1,3,74,1,19.2,8.7,9.3,5,2,60
AVS089L84605366T01884,2,1956,2,3864,1,1,N,85,1,6.7,9.7,10.7,4,1,60
AVS089L84605394D00881,2,1956,2,1872,1,2,2,75,1,7,7,7.3,3,0,62
AVS089L84606777A05287,1,1956,4,6575,1,2,1,88,4,204.5,16.5,18.9,3,0,62
AVS089L84607492D05380,4,1956,2,41,3,1,3,74,2,24.7,6,6.5,5,2,58
AVS089L84607492D05380,4,1956,2,41,3,1,3,74,2,24.7,6,6.5,5,2,60
AVS089L84607492D05380,4,1956,2,41,3,1,3,74,2,24.7,6,6.5,5,2,62
AVS089L84608901G08287,2,1956,2,6456,1,2,1,75,3,77.7,9.4,10.3,3,0,62
AVS089L84609037E06580,3,1956,2,8767,1,2,1,75,1,18.9,9.1,12.9,2,0,62
AVS089L84609300R09689,2,1956,2,862,1,2,1,75,1,19.8,11.3,12.2,3,0,62
AVS089L84609570F03584,4,1956,2,1829,1,1,N,74,2,38.1,7.7,8.6,4,1,60
AVS108C28706240A05387,3,1943,2,5223,1,3,N,86,1,6.1,9.1,13.9,4,1,73
AVS108C28706240A05387,3,1943,2,4667,1,3,N,86,1,6.1,9.1,13.9,2,0,75
AVS108C28708085Q05282,2,1943,2,140,3,2,1,75,1,15.2,6.7,7.2,4,1,71
AVS117S59900058G03081,2,1930,2,8097,1,2,1,75,1,20.7,9.4,12.9,4,1,86
AVS117S59900150Y01181,2,1930,3,3179,1,1,1,76,1,8.8,13.6,14.4,4,1,86
AVS117S59900444F05188,2,1930,2,1523,1,1,1,76,1,15.5,12,13.1,3,0,84
AVS117S59900444F05188,2,1930,2,1365,1,1,1,76,1,15.5,12,13.1,3,0,88
AVS117S59900940U08281,2,1930,2,7331,1,1,1,76,2,16.5,9.4,10.5,4,1,86
AVS117S59900940U08281,2,1930,2,7396,1,1,1,76,2,16.5,9.4,10.5,4,1,88
AVS117S59901075M07680,4,1930,1,5,4,1,1,76,1,7.6,4.3,4.9,7,3,84
AVS117S59901075M07680,4,1930,1,5,4,1,1,76,1,7.6,4.3,4.9,7,3,86
AVS117S59901075M07680,4,1930,1,5,4,1,1,76,1,7.6,4.3,4.9,7,3,88
AVS117S59901324G02483,4,1930,1,50,3,2,3,75,1,9.8,4.3,4.4,3,0,88
AVS117S59901332G09683,2,1930,2,2442,3,1,1,76,1,14.6,11.6,13.3,4,1,86
AVS117S59901332G09683,2,1930,2,2252,3,1,1,76,1,14.6,11.6,13.3,5,2,88
AVS117S59901356Q00586,2,1930,2,1084,1,1,1,75,1,12.5,7,7.9,3,0,88
AVS117S59901362N04186,5,1930,2,500,1,2,1,75,2,17.7,6.1,71,3,0,88
AVS117S59901417X02785,2,1930,2,1351,1,1,1,76,1,9.8,9.2,10.1,4,1,86
AVS117S59901417X02785,2,1930,2,1307,1,1,1,76,1,9.8,9.2,10.1,4,1,88
AVS117S59901550J09585,2,1930,2,17883,3,1,1,76,1,14.3,12.2,13.4,4,1,84
